v_Vel_X,v_Vel_Y,v_Acc_X,v_Acc_Y,Distance_l,Distance_r,label
4.547172581,48.41694044,-0.531111254,-5.655114573,2.774,7.226,1
4.32069671,47.95575127,-0.288943788,-3.207009742,2.34,7.66,1
2.124359496,29.1326483,0.007272713,0.099735188,4.844,5.156,1
2.102925735,29.06402077,-0.083712898,-1.156975432,4.632,5.368,1
0.039295987,49.11998428,0,0,0.207,9.793,1
0.380679764,31.60770765,0,0,4.912,5.088,1
0.629450061,40.00504834,-0.004090403,-0.259967822,1.756,8.244,1
0.610234127,39.99534491,0,0,1.695,8.305,1
1.823290633,42.46087153,-0.194341331,-4.525829366,7.506,2.494,1
1.330786244,42.03894157,-0.162630559,-5.137426525,7.372,2.628,1
0.040072717,55.09998543,0,0,3.449,6.551,1
0.128540369,7.168847702,0,0,6.534,3.466,1
0.690904391,44.46463259,-0.095082862,-6.119261332,3.713,6.287,1
0.275956653,43.73912948,-0.057727558,-9.149817896,3.685,6.315,1
2.650175369,40.16265766,-0.075060868,-1.137526205,7.33,2.67,1
2.664093508,40.12164884,0.039090156,0.588703626,7.064,2.936,1
2.953496342,29.85426032,0.051193937,0.517473846,5.444,4.556,1
3.025913819,30.03797506,0.284650389,2.825698879,5.143,4.857,1
5.043073548,38.30948981,-0.298877806,-2.27041231,5.179,4.821,1
5.098047386,38.15088482,-0.055629512,-0.416299601,4.666,5.334,1
5.899121078,31.99064348,-1.109825423,-6.018528685,3.431,6.569,1
6.250077882,31.92393188,0,0,2.8,7.2,1
0.050061524,65.07998075,0,0,2.971,7.029,1
0.138547309,7.238674232,0,0,3.392,6.608,1
0.619925536,39.99519587,0,0,5.977,4.023,1
0.620080519,39.99519346,0,0,5.915,4.085,1
1.720680013,41.4743217,-0.215136817,-5.185539138,7.553,2.447,1
1.126284189,41.05455375,-0.11380763,-4.148439203,7.44,2.56,1
0.172013543,41.82964632,0.031170515,7.57993591,7.404,2.596,1
0.320368489,42.41879022,0.036553123,4.839861968,7.372,2.628,1
3.967938994,34.14018688,0.115447745,0.993313555,5.243,4.757,1
3.84359176,34.22485066,0.039060892,0.347813523,4.856,5.144,1
0.038983988,48.72998441,0,0,2.686,7.314,1
0.231718215,29.77909849,0,0,6.399,3.601,1
0.039999986,46.99998298,0,0,2.659,7.341,1
0.203168885,24.99917443,0,0,5.587,4.413,1
0.050058316,60.06997914,0,0,4.185,5.815,1
0.132425307,9.999123138,0,0,7.044,2.956,1
0.340209059,59.79903225,0,0,2.555,7.445,1
0.152171845,11.62900442,0,0,5.064,4.936,1
2.171663414,26.09980801,0,0,4.846,5.154,1
2.182383401,26.09891382,0,0,4.627,5.373,1
3.585943852,30.16762183,0.118036335,0.993009277,4.683,5.317,1
3.79883022,30.21210666,0.051150095,0.406796838,4.3,5.7,1
3.838415388,36.90090198,0.204853436,1.969374284,4.189,5.811,1
3.947216179,37.31179283,0.62174967,5.877204042,3.798,6.202,1
0.040053318,45.0599822,0,0,4.935,5.065,1
0.341522574,24.99766714,0,0,6.317,3.683,1
0.605243704,50.36636358,0.055994355,4.659663575,5.197,4.803,1
0.757350858,50.93436973,0.104221231,7.009225202,5.122,4.878,1
0.030879993,46.31998971,0,0,4.723,5.277,1
0.461349953,30.25648288,0,0,2.256,7.744,1
4.656010392,34.88062022,-0.31622236,-2.368987847,3.734,6.266,1
6.035323922,34.49601811,-0.163722379,-0.935785757,3.122,6.878,1
0.030053995,50.08999098,0,0,8.888,1.112,1
0.244075453,24.99880852,0,0,8.969,1.031,1
0.048670242,48.67997567,0,0,3.243,6.757,1
0.500286406,27.38543068,0,0,4.912,5.088,1
0.039959991,59.93998668,0,0,6.188,3.812,1
0.469721804,24.99558684,0,0,6.871,3.129,1
0.220032591,64.99962758,0,0,6.928,3.072,1
0.579766303,15.38908285,0,0,6.58,3.42,1
0.010127484,54.01999905,0.001672291,8.919999843,6.452,3.548,1
0,54.71,0,4.77,6.452,3.548,1
2.536347393,40.80124192,-0.003722623,-0.059884406,5.28,4.72,1
2.446206128,40.79672751,0.0017956,0.029946215,5.035,4.965,1
3.274566652,37.58763245,0.080714206,0.926490808,7.63,2.37,1
3.275874565,37.63770777,0.03815206,0.438342811,7.301,2.699,1
0.048949983,58.7399796,0,0,6.889,3.111,1
0.382495846,26.3272216,0,0,6.515,3.485,1
0.039106658,58.65998696,0,0,8.15,1.85,1
0.195376538,30.01936422,0,0,4.481,5.519,1
0.040072717,55.09998543,0,0,3.902,6.098,1
0.223638229,32.24922458,0,0,9.394,0.606,1
0.048108727,52.90997813,0,0,4.149,5.851,1
0.17289718,22.0093209,0,0,7.532,2.468,1
0.02888666,43.32999037,0,0,1.9,8.1,1
0.179598395,23.68931921,0,0,5.85,4.15,1
0.04889978,53.77997777,0,0,0.673,9.327,1
0.229299178,28.7590859,0,0,3.968,6.032,1
0.030079993,45.11998997,0,0,2.921,7.079,1
0.160989591,20.32936257,0,0,6.301,3.699,1
2.792730834,40.13294849,-0.023602498,-0.339179778,5.434,4.566,1
3.320077143,40.21317679,0.260833818,3.159250816,5.104,4.896,1
2.442750213,52.74346378,0.024057388,0.519443204,6.526,3.474,1
2.413489913,52.7448108,0,0,6.286,3.714,1
0.042239986,52.7999831,0,0,6.388,3.612,1
0.101739014,29.99982749,0,0,9.295,0.705,1
0.039164429,44.05998259,0,0,9.425,0.575,1
0.36253914,29.99780934,0,0,4.097,5.903,1
2.026290821,42.66190626,-0.008065311,-0.169808571,4.937,5.063,1
2.020104661,42.67221083,0.014186128,0.299664402,4.735,5.265,1
3.994862421,39.7598123,0,0,7.687,2.313,1
3.262496965,39.79649499,-0.050657353,-0.617927045,7.359,2.641,1
0.040096006,50.10998396,0,0,7.021,2.979,1
