Vehicle_ID,Global_Time,Local_X,Local_Y,v_Vel,v_Acc,Lane_ID,Distance_l,Distance_r,Phi,v_Vel_X,v_Vel_Y,v_Acc_X,v_Acc_Y
2,1.11885E+12,12.774,830.123,48.63,-5.68,2,2.774,7.226,0.093642299,4.547172581,48.41694044,-0.531111254,-5.655114573
2,1.11885E+12,12.34,834.94,48.15,-3.22,1,2.34,7.66,0.08985496,4.32069671,47.95575127,-0.288943788,-3.207009742
2,1.11885E+12,34.844,573.107,29.21,0.1,4,4.844,5.156,0.072791396,2.124359496,29.1326483,0.007272713,0.099735188
2,1.11885E+12,34.632,576.037,29.14,-1.16,3,4.632,5.368,0.072229079,2.102925735,29.06402077,-0.083712898,-1.156975432
3,1.11885E+12,30.207,2168.874,49.12,0,3,0.207,9.793,0.0008,0.039295987,49.11998428,0,0
3,1.11885E+12,4.912,68.639,31.61,0,1,4.912,5.088,0.012043308,0.380679764,31.60770765,0,0
4,1.11885E+12,61.756,612.847,40.01,-0.26,7,1.756,8.244,0.015732967,0.629450061,40.00504834,-0.004090403,-0.259967822
4,1.11885E+12,61.695,616.845,40,0,6,1.695,8.305,0.015256445,0.610234127,39.99534491,0,0
4,1.11885E+12,57.506,730.897,42.5,-4.53,6,7.506,2.494,0.042914127,1.823290633,42.46087153,-0.194341331,-4.525829366
4,1.11885E+12,57.372,735.13,42.06,-5.14,5,7.372,2.628,0.031645468,1.330786244,42.03894157,-0.162630559,-5.137426525
4,1.11885E+12,53.449,2126.654,55.1,0,5,3.449,6.551,0.000727273,0.040072717,55.09998543,0,0
4,1.11885E+12,16.534,67.861,7.17,0,2,6.534,3.466,0.017928488,0.128540369,7.168847702,0,0
4,1.11885E+12,63.713,650.165,44.47,-6.12,7,3.713,6.287,0.01553704,0.690904391,44.46463259,-0.095082862,-6.119261332
4,1.11885E+12,63.685,654.603,43.74,-9.15,6,3.685,6.315,0.006309065,0.275956653,43.73912948,-0.057727558,-9.149817896
4,1.11885E+12,57.33,1018.771,40.25,-1.14,6,7.33,2.67,0.065890534,2.650175369,40.16265766,-0.075060868,-1.137526205
4,1.11885E+12,57.064,1022.777,40.21,0.59,5,7.064,2.936,0.06630307,2.664093508,40.12164884,0.039090156,0.588703626
4,1.11885E+12,45.444,1166.963,30,0.52,5,5.444,4.556,0.098609611,2.953496342,29.85426032,0.051193937,0.517473846
4,1.11885E+12,45.143,1169.951,30.19,2.84,4,5.143,4.857,0.100397588,3.025913819,30.03797506,0.284650389,2.825698879
4,1.11885E+12,35.179,1540.042,38.64,-2.29,4,5.179,4.821,0.130887725,5.043073548,38.30948981,-0.298877806,-2.27041231
4,1.11885E+12,34.666,1543.881,38.49,-0.42,3,4.666,5.334,0.13284158,5.098047386,38.15088482,-0.055629512,-0.416299601
4,1.11885E+12,23.431,2177.227,32.53,-6.12,3,3.431,6.569,0.182352963,5.899121078,31.99064348,-1.109825423,-6.018528685
4,1.11885E+12,22.8,2180.45,32.53,0,2,2.8,7.2,0.193334911,6.250077882,31.92393188,0,0
5,1.11885E+12,42.971,2125.073,65.08,0,4,2.971,7.029,0.000769231,0.050061524,65.07998075,0,0
5,1.11885E+12,3.392,57.191,7.24,0,1,3.392,6.608,0.019137537,0.138547309,7.238674232,0,0
6,1.11885E+12,65.977,614.41,40,0,7,5.977,4.023,0.015498759,0.619925536,39.99519587,0,0
6,1.11885E+12,65.915,618.409,40,0,6,5.915,4.085,0.015502634,0.620080519,39.99519346,0,0
6,1.11885E+12,57.553,856.519,41.51,-5.19,6,7.553,2.447,0.041464061,1.720680013,41.4743217,-0.215136817,-5.185539138
6,1.11885E+12,57.44,860.638,41.07,-4.15,5,7.44,2.56,0.027426964,1.126284189,41.05455375,-0.11380763,-4.148439203
6,1.11885E+12,57.404,872.892,41.83,7.58,6,7.404,2.596,0.004112217,0.172013543,41.82964632,0.031170515,7.57993591
6,1.11885E+12,57.372,877.129,42.42,4.84,5,7.372,2.628,0.00755237,0.320368489,42.41879022,0.036553123,4.839861968
6,1.11885E+12,45.243,854.526,34.37,1,5,5.243,4.757,0.115705747,3.967938994,34.14018688,0.115447745,0.993313555
6,1.11885E+12,44.856,857.972,34.44,0.35,4,4.856,5.144,0.111835527,3.84359176,34.22485066,0.039060892,0.347813523
6,1.11885E+12,42.686,2164.361,48.73,0,4,2.686,7.314,0.0008,0.038983988,48.72998441,0,0
6,1.11885E+12,26.399,71.249,29.78,0,3,6.399,3.601,0.00778108,0.231718215,29.77909849,0,0
7,1.11885E+12,32.659,2176.364,47,0,3,2.659,7.341,0.000851064,0.039999986,46.99998298,0,0
7,1.11885E+12,15.587,75.718,25,0,2,5.587,4.413,0.008126845,0.203168885,24.99917443,0,0
8,1.11885E+12,44.185,2128.136,60.07,0,4,4.185,5.815,0.000833333,0.050058316,60.06997914,0,0
8,1.11885E+12,17.044,78.783,10,0,2,7.044,2.956,0.013242918,0.132425307,9.999123138,0,0
9,1.11885E+12,32.555,2173.03,59.8,0,3,2.555,7.445,0.005689145,0.340209059,59.79903225,0,0
9,1.11885E+12,5.064,72.162,11.63,0,1,5.064,4.936,0.013084797,0.152171845,11.62900442,0,0
9,1.11885E+12,44.846,167.868,26.19,0,5,4.846,5.154,0.083014882,2.171663414,26.09980801,0,0
9,1.11885E+12,44.627,170.487,26.19,0,4,4.627,5.373,0.083425619,2.182383401,26.09891382,0,0
9,1.11885E+12,34.683,777.906,30.38,1,4,4.683,5.317,0.118312159,3.585943852,30.16762183,0.118036335,0.993009277
9,1.11885E+12,34.3,780.952,30.45,0.41,3,4.3,5.7,0.125082238,3.79883022,30.21210666,0.051150095,0.406796838
9,1.11885E+12,24.189,1823.168,37.1,1.98,3,4.189,5.811,0.103646805,3.838415388,36.90090198,0.204853436,1.969374284
9,1.11885E+12,23.798,1826.864,37.52,5.91,2,3.798,6.202,0.105398021,3.947216179,37.31179283,0.62174967,5.877204042
10,1.11885E+12,44.935,2165.375,45.06,0,4,4.935,5.065,0.000888889,0.040053318,45.0599822,0,0
10,1.11885E+12,16.317,70.687,25,0,2,6.317,3.683,0.013661328,0.341522574,24.99766714,0,0
11,1.11885E+12,35.197,2061.244,50.37,4.66,4,5.197,4.803,0.012016245,0.605243704,50.36636358,0.055994355,4.659663575
11,1.11885E+12,35.122,2066.288,50.94,7.01,3,5.122,4.878,0.014868056,0.757350858,50.93436973,0.104221231,7.009225202
11,1.11885E+12,34.723,2164.377,46.32,0,3,4.723,5.277,0.000666667,0.030879993,46.31998971,0,0
11,1.11885E+12,2.256,35.11,30.26,0,1,2.256,7.744,0.015246789,0.461349953,30.25648288,0,0
12,1.11885E+12,23.734,879.082,35.19,-2.39,3,3.734,6.266,0.132699724,4.656010392,34.88062022,-0.31622236,-2.368987847
