Vehicle_ID,Global_Time,Local_X,Local_Y,v_Vel,v_Acc,Lane_ID,Distance_l,Distance_r,Phi,v_Vel_X,v_Vel_Y,v_Acc_X,v_Acc_Y
1,1.11885E+12,56.833,1017.489,39.67,-2.81,5,6.833,3.167,0.134654371,5.325610982,39.31089884,-0.377236372,-2.784563291
1,1.11885E+12,57.359,1021.432,39.5,-0.96,6,7.359,2.641,0.132617981,5.223068623,39.1531551,-0.126940402,-0.951570352
1,1.11885E+12,69.023,1343.072,48.1,11.02,6,9.023,0.977,0.000635189,0.030552609,48.0999903,0.006999787,11.01999778
1,1.11885E+12,69.08,1347.937,49.05,10.02,8,9.08,0.92,0.011715805,0.574647096,49.04663373,0.117389682,10.01931233
2,1.11885E+12,8.41,2130.121,70.02,0,1,8.41,1.59,0.000857143,0.060017121,70.01997428,0,0
2,1.11885E+12,38.844,84.876,14.98,0,4,8.844,1.156,0.014879271,0.222883251,14.9783418,0,0
4,1.11885E+12,22.948,2166.38,45,0,2,2.948,7.052,0.000666815,0.030006661,44.99999,0,0
4,1.11885E+12,68.256,538.047,48.61,0,7,8.256,1.744,0.027817598,1.352039047,48.59119355,0,0
5,1.11885E+12,7.375,2166.848,50.02,0,1,7.375,2.625,0.091397677,4.565349451,49.81122348,0,0
5,1.11885E+12,51.096,76.845,24.97,0,5,1.096,8.904,0.020916058,0.52223589,24.96453824,0,0
6,1.11885E+12,57.387,868.758,41.22,5.53,5,7.387,2.613,0.005659388,0.233278744,41.21933989,0.031296251,5.529911441
6,1.11885E+12,57.404,872.892,41.83,7.58,6,7.404,2.596,0.004112217,0.172013543,41.82964632,0.031170515,7.57993591
8,1.11885E+12,21.72,2166.843,50.03,0,2,1.72,8.28,0.0008,0.040023987,50.02998399,0,0
8,1.11885E+12,51.319,75.871,25,0,5,1.319,8.681,0.014154672,0.353854988,24.99749561,0,0
8,1.11885E+12,57.067,687.014,40.02,-0.39,5,7.067,2.933,0.118196489,4.719217316,39.74077739,-0.045989374,-0.38727894
8,1.11885E+12,57.542,690.998,40.13,2.04,6,7.542,2.458,0.118666739,4.750927609,39.8477802,0.241512393,2.025653417
8,1.11885E+12,67.82,1344.536,54.39,2.05,6,7.82,2.18,0.001109877,0.060366223,54.3899665,0.002275248,2.049998737
8,1.11885E+12,67.838,1349.969,54.61,3.89,8,7.838,2.162,0.003313075,0.180926671,54.60970029,0.012887837,3.889978651
9,1.11885E+12,9.874,2170.374,56.86,0,1,9.874,0.126,0.000666778,0.037912977,56.85998736,0,0
9,1.11885E+12,49.003,59.003,28.5,0,5,9.003,0.997,0.018530387,0.5280858,28.49510704,0,0
10,1.11885E+12,5.969,2129.069,63.27,0,1,5.969,4.031,0.000615385,0.038935377,63.26998802,0,0
10,1.11885E+12,38.876,79.877,19.17,0,4,8.876,1.124,0.016057144,0.30780223,19.16752873,0,0
11,1.11885E+12,35.032,2030.692,53.33,-5.32,3,5.032,4.968,0.069889678,3.724182949,53.19980603,-0.371510469,-5.30701234
11,1.11885E+12,35.269,2036.04,52.53,-11.2,4,5.269,4.731,0.044286656,2.325617658,52.47849467,-0.495848425,-11.18901847
12,1.11885E+12,9.982,2165.321,50.85,0,1,9.982,0.018,0.00080016,0.040688125,50.84998372,0,0
12,1.11885E+12,26.65,70.279,26.66,0,3,6.65,3.35,0.007955759,0.212098286,26.65915629,0,0
13,1.11885E+12,20.651,2165.893,48.28,0,2,0.651,9.349,0.0008,0.038623988,48.27998455,0,0
13,1.11885E+12,51.942,73.887,23.82,0,5,1.942,8.058,0.014956299,0.356245755,23.81733589,0,0
13,1.11885E+12,58.465,1401.026,43.62,10.71,5,8.465,1.535,0.123840474,5.388124318,43.28593901,1.322943866,10.62797815
13,1.11885E+12,59.021,1405.47,44.45,6.27,8,9.021,0.979,0.124465773,5.518230011,44.10614059,0.778387,6.221496096
15,1.11885E+12,32.15,2165.879,45.04,0,3,2.15,7.85,0.000666667,0.03002666,45.03998999,0,0
15,1.11885E+12,38.852,74.81,29.9,0,4,8.852,1.148,0.003205048,0.095830779,29.89984643,0,0
17,1.11885E+12,9.148,2168.361,50.01,0,1,9.148,0.852,0.001,0.050009975,50.009975,0,0
